tconst,titleType,originalTitle,startYear,runtimeMinutes,genres,averageRating,numVotes
tt6791350,movie,Guardians of the Galaxy Vol. 3,2023,150,"Action,Adventure,Comedy",7.9,385326.0
tt19887550,movie,Good Grief,2023,100,"Comedy,Drama,Romance",6.4,10323.0
tt14118090,movie,Kingdom of the Dinosaurs,2022,80,"Adventure,Sci-Fi",,
tt3704428,movie,Elvis,2022,159,"Biography,Drama,Music",7.3,236910.0
tt1798632,movie,Firestarter,2022,94,"Drama,Horror,Sci-Fi",4.6,22482.0
tt9243804,movie,The Green Knight,2021,130,"Adventure,Drama,Fantasy",6.6,119056.0
tt7740496,movie,Nightmare Alley,2021,150,"Crime,Drama,Thriller",7.0,166266.0
tt8522006,movie,Happiest Season,2020,102,"Comedy,Romance",6.6,47576.0
tt8332922,movie,A Quiet Place Part II,2020,97,"Drama,Horror,Sci-Fi",7.2,275588.0
tt7550000,movie,Project Power,2020,113,"Action,Crime,Sci-Fi",6.0,98179.0
