tconst,titleType,originalTitle,startYear,runtimeMinutes,genres,averageRating,numVotes
tt10442352,movie,Thelma the Unicorn,2024,93,"Adventure,Animation,Comedy",5.7,1732.0
tt11057302,movie,Madame Web,2024,116,"Action,Adventure,Sci-Fi",3.9,69061.0
tt11097384,movie,Spaceman,2024,107,"Adventure,Drama,Sci-Fi",5.7,34824.0
tt11389872,movie,Kingdom of the Planet of the Apes,2024,145,"Action,Adventure,Sci-Fi",7.2,50127.0
tt12037194,movie,Furiosa: A Mad Max Saga,2024,148,"Action,Adventure,Sci-Fi",7.8,76559.0
tt12262202,tvSeries,The Acolyte,2024,35,"Action,Adventure,Drama",4.3,26361.0
tt12584954,movie,Twisters,2024,122,"Action,Adventure,Thriller",,
tt12637874,tvSeries,Fallout,2024,60,"Action,Adventure,Drama",8.4,201432.0
tt13452446,movie,Damsel,2024,110,"Action,Adventure,Fantasy",6.1,88711.0
tt14539740,movie,Godzilla x Kong: The New Empire,2024,115,"Action,Adventure,Fantasy",6.2,71639.0
tt14856980,movie,Atlas,2024,118,"Action,Adventure,Drama",5.6,37790.0
tt14948432,movie,Red One,2024,102,"Action,Adventure,Comedy",,
tt15239678,movie,Dune: Part Two,2024,166,"Action,Adventure,Drama",8.6,442460.0
tt16026746,tvSeries,X-Men '97,2024,22,"Action,Adventure,Animation",8.9,28327.0
tt17279496,movie,Civil War,2024,109,"Action,Adventure,Thriller",7.2,107697.0
tt19637052,movie,Love Lies Bleeding,2024,104,"Action,Adventure,Crime",6.7,25934.0
tt21235248,movie,Ghostbusters: Frozen Empire,2024,115,"Adventure,Comedy,Fantasy",6.2,49526.0
tt21692408,movie,Kung Fu Panda 4,2024,94,"Action,Adventure,Animation",6.3,41926.0
tt22752312,movie,Big City Greens the Movie: Spacecation,2024,82,"Action,Adventure,Animation",,
tt26446278,movie,Le Comte de Monte-Cristo,2024,173,"Action,Adventure,Drama",,
tt27052533,tvSeries,Masters of the Universe: Revolution,2024,25,"Action,Adventure,Animation",7.5,2848.0
tt27305026,tvSeries,Dou Luo Da Lu 2,2024,45,"Action,Adventure,Drama",,
tt29722855,movie,Hwangya,2024,107,"Action,Adventure,Drama",5.9,9855.0
tt29899148,tvSeries,Jurassic World: Chaos Theory,2024,24,"Action,Adventure,Animation",7.6,1519.0
tt30361848,tvSeries,Survivor 2024 All Star,2024,120,"Adventure,Game-Show,Reality-TV",,
tt31123288,movie,The Casagrandes Movie,2024,89,"Adventure,Animation,Comedy",,
tt32223312,movie,No Time to Spy: A Loud House Movie,2024,102,"Action,Adventure,Animation",,
tt32402619,tvSeries,Fengyun Bian,2024,15,"Action,Adventure,Animation",,
tt4978420,movie,Borderlands,2024,102,"Action,Adventure,Comedy",,
tt5834410,movie,The Tiger's Apprentice,2024,84,"Action,Adventure,Animation",5.7,1571.0
tt9018736,tvSeries,Avatar: The Last Airbender,2024,55,"Action,Adventure,Comedy",7.2,71241.0
tt9471678,movie,Ultraman: Rising,2024,117,"Action,Adventure,Animation",,
