imdb_id,release_date,roi,vote_average,genres,title
tt9362722,2023,5.83241751,8,"Animation, Action, Adventure",Spider-Man: Across the Spider-Verse
tt15354916,2023,2.559896652835408,7,"Action, Adventure, Thriller",Jawan
tt6791350,2023,2.381721208,8,"Science Fiction, Adventure, Action",Guardians of the Galaxy Vol. 3
tt9224104,2023,1.977182031007752,7,"Action, Science Fiction, Horror",Meg 2: The Trench
tt23177868,2023,1.7804878048780488,7,"Animation, Comedy, Family, Adventure, Fantasy",Mummies
tt8589698,2023,1.457142857142857,7,"Animation, Comedy, Action",Teenage Mutant Ninja Turtles: Mutant Mayhem
tt15789038,2023,1.43398994,8,"Animation, Comedy, Family, Fantasy, Romance",Elemental
tt10954600,2023,1.3803559,6,"Action, Adventure, Science Fiction",Ant-Man and the Wasp: Quantumania
tt5971474,2023,1.276978228,7,"Adventure, Family, Fantasy, Romance",The Little Mermaid
tt5090568,2023,1.204102564102564,7,"Action, Adventure, Science Fiction",Transformers: Rise of the Beasts
tt5433140,2023,1.0726754705882353,7,"Action, Crime, Thriller",Fast X
tt5884796,2023,1.04,7,"Action, Adventure, Thriller",Plane
tt9603212,2023,0.9352197766323024,8,"Action, Thriller",Mission: Impossible - Dead Reckoning Part One
tt4495098,2023,0.9133333333333333,8,"Action, Drama, Adventure",Gran Turismo
tt12844910,2023,0.7777777777777778,7,"Action, Adventure, Thriller",Pathaan
tt15837338,2023,0.58,8,"Animation, Family, Comedy, Action, Science Fiction",PAW Patrol: The Mighty Movie
tt2906216,2023,0.3786558013245033,7,"Adventure, Fantasy, Comedy",Dungeons & Dragons: Honor Among Thieves
tt1462764,2023,0.29925722429589413,7,"Adventure, Action",Indiana Jones and the Dial of Destiny
tt12261776,2023,0.2222222222222222,6,"Science Fiction, Action, Adventure",65
tt10151854,2023,0.06749684,7,"Comedy, Action, Fantasy",Shazam! Fury of the Gods
tt9362930,2023,0.040151958333333335,7,"Action, Science Fiction, Adventure",Blue Beetle
tt0439572,2023,-0.10541461333333334,7,"Action, Adventure, Science Fiction",The Flash
tt12915716,2023,-0.31746031746031744,5,"Action, Adventure, Drama, Fantasy",Adipurush
tt6528290,2023,-0.8867580166666666,7,"Fantasy, Action, Adventure",Knights of the Zodiac
